net,length_um
_22109_,169.005
_03314_,169
_17896_,168.96
_19229_,168.74
delay_line\[14\]\[5\],168.58
_10266_,168.39
_04762_,167.66
_08385_,167.62
delay_line\[23\]\[7\],167.62
net851,167.585
_19247_,167.56
_22018_,167.49
_16883_,167.44
_07926_,166.76
_20289_,166.76
_04487_,166.67
_09340_,166.66
_03404_,166.62
_10934_,166.5
_23762_,166.42
_22643_,166.12
net406,166.025
_07919_,166
_04786_,165.795
_23827_,165.63
_09020_,165.58
net814,165.325
_02260_,165.2
net149,165.06
net797,164.795
_15009_,164.78
delay_line\[13\]\[6\],164.76
_09740_,164.72
_25370_,164.66
_12155_,164.4
_14944_,164.38
net833,164.34
_13598_,164.24
_01501_,164.235
delay_line\[3\]\[4\],164.2
_13099_,164.135
_05858_,164.12
_05013_,164
net398,163.705
_01694_,163.6
delay_line\[5\]\[0\],163.5
_21354_,163.365
net825,163.3
_17825_,163.16
_03457_,163.1
_00437_,162.98
net794,162.725
delay_line\[31\]\[15\],162.68
delay_line\[25\]\[7\],162.66
_14409_,162.46
delay_line\[21\]\[6\],162.44
_21736_,162.36
_22792_,162.36
net529,162.32
_12881_,162.26
_02967_,162.22
delay_line\[32\]\[9\],162.22
_17215_,162.18
_03604_,161.96
_02249_,161.56
net407,161.52
delay_line\[14\]\[13\],161.5
_16843_,161.45
_14860_,161.11
_16387_,161.1
_13098_,161.08
_04903_,160.94
_06486_,160.78
_12361_,160.6
_20653_,160.58
_24540_,160.52
_13597_,160.4
_07318_,160.3
_18104_,160.18
_03436_,160.065
_22509_,160.06
_11192_,159.72
_14617_,159.635
_00039_,159.595
net644,159.56
delay_line\[12\]\[6\],159.42
_16101_,159.36
_01630_,159.275
_08384_,159.22
net71,159.22
_14495_,159.11
_19534_,159.08
_03546_,158.92
_05856_,158.92
_12875_,158.66
_09895_,158.55
_07498_,158.32
_22363_,158.26
_22128_,158.13
_01527_,158.04
_24256_,157.9
delay_line\[19\]\[13\],157.785
net364,157.78
_25296_,157.77
_20288_,157.76
delay_line\[29\]\[0\],157.56
_15053_,157.42
delay_line\[23\]\[10\],157.23
_04928_,157.12
_19964_,156.56
_09077_,156.52
_19217_,156.44
_06552_,156.3
_19203_,156.1
delay_line\[25\]\[6\],156.1
_18987_,156.03
_06496_,156
_22777_,155.94
_08640_,155.88
_21821_,155.48
_11664_,155.19
delay_line\[0\]\[11\],155.16
net316,155.115
net551,154.96
delay_line\[16\]\[3\],154.9
_05260_,154.88
_06400_,154.88
_14085_,154.77
_19380_,154.72
_00268_,154.6
_06233_,154.15
_22771_,154.04
_15579_,153.98
net935,153.805
_19486_,153.74
_12502_,153.56
_18101_,153.465
_22006_,153.41
_23839_,153.4
net807,153.325
_16148_,153.23
_01872_,152.98
_18915_,152.8
_22343_,152.71
_21862_,152.62
_01884_,152.59
_23966_,152.58
_02876_,152.36
_25194_,152.28
net312,152.26
net114,152.22
net884,151.965
_12273_,151.94
_24241_,151.9
_08159_,151.88
_17398_,151.81
delay_line\[2\]\[6\],151.64
_15576_,151.58
_00289_,151.36
_08019_,151.31
_22775_,151.04
_25416_,150.88
net352,150.6
_21746_,150.52
delay_line\[4\]\[2\],150.51
net1104,150.465
delay_line\[0\]\[10\],150.34
_12737_,150.28
_13296_,150.24
net768,150.005
net1036,149.885
_19986_,149.86
_21728_,149.76
_22150_,149.75
_22080_,149.655
_25332_,149.46
_23880_,149.36
_16217_,149.24
net8,149.225
_04745_,149.14
_24971_,148.985
_14081_,148.98
delay_line\[29\]\[5\],148.94
_19045_,148.8
_00117_,148.72
_17281_,148.68
_19117_,148.66
_13293_,148.58
_08764_,148.43
net915,148.215
_20654_,148.14
_24380_,148.08
_22448_,148.04
_23622_,147.62
_16560_,147.44
_19192_,147.36
_17978_,147.34
_20842_,147.32
net735,147.295
delay_line\[29\]\[2\],147.22
_08994_,147.105
_04751_,147.04
_17292_,146.96
_00004_,146.945
_23532_,146.925
_20060_,146.89
_08723_,146.88
_00121_,146.82
_19236_,146.7
_18744_,146.61
_22831_,146.6
_12556_,146.54
_18322_,146.24
_03131_,146.22
_16757_,146.2
_02017_,146.105
_08668_,146.055
_10640_,146.02
_13808_,146
_23447_,145.98
_21116_,145.94
_03555_,145.88
_18453_,145.66
_01732_,145.52
delay_line\[23\]\[2\],145.52
_18651_,145.34
delay_line\[12\]\[1\],145.33
_16882_,145.215
_25297_,145.17
_05403_,145.06
_06607_,144.98
_18844_,144.92
_00288_,144.77
_06337_,144.69
delay_line\[12\]\[4\],144.67
_12130_,144.54
net389,144.505
net942,144.34
_12839_,144.1
_22111_,144.03
_14150_,144
_16289_,143.995
_01128_,143.98
delay_line\[7\]\[8\],143.96
_17979_,143.86
net50,143.74
_01555_,143.545
_25341_,143.52
delay_line\[5\]\[10\],143.51
_17914_,143.48
_19441_,143.44
_12152_,143.4
_00062_,143.18
_04656_,143.05
_01745_,142.88
delay_line\[0\]\[1\],142.88
net661,142.825
_07986_,142.74
_17391_,142.64
_21087_,142.64
_16195_,142.56
_23794_,142.54
_14149_,142.52
_14507_,142.48
_18343_,142.44
_06272_,142.42
_16934_,142.12
net657,141.925
net353,141.915
_20313_,141.825
_07702_,141.72
_02425_,141.48
_06931_,141.4
_18520_,141.26
_07696_,141.16
_23798_,141.16
delay_line\[7\]\[6\],141.08
_25051_,140.96
